quality,acidity,alcohol,chlorides,density,sugar,sulfates,type
6,0.16,12.5,0.026,0.991,1.7,0.78,white
7,0.16,11.4,0.05,0.9912,1.8,0.44,white
7,0.21,12.9,0.032,0.9907,1.6,0.6,white
7,0.32,12.8,0.029,0.9902,1.4,0.51,white
6,0.16,11.2,0.034,0.992,1.6,0.44,white
6,0.16,9.7,0.033,0.994,1.5,0.42,white
6,0.23,9.7,0.038,0.9966,9.2,0.56,white
6,0.17,10.3,0.037,0.993,1.1,0.54,white
4,0.39,11.6,0.03,0.993,4.3,0.87,white
4,0.41,11.6,0.031,0.993,4.2,0.86,white
6,0.23,9.7,0.038,0.9966,9.2,0.56,white
6,0.38,10.9,0.045,0.9942,5,0.44,white
7,0.42,12.6,0.045,0.9925,6.8,0.37,white
6,0.34,12.4,0.04,0.9925,5.2,0.47,white
5,0.23,11.5,0.042,0.9928,4.75,0.4,white
6,0.245,10.2,0.045,0.995,5.9,0.35,white
5,0.2,11.4,0.032,0.9939,7.7,0.27,white
6,0.19,9.6,0.067,0.9958,6.4,0.33,white
6,0.2,10.3,0.035,0.9952,8.1,0.3,white
5,0.59,9.3,0.038,1,17.35,0.75,white
7,0.14,10.7,0.05,0.9948,1.8,0.49,white
8,0.24,12.8,0.047,0.99,1.8,0.49,white
5,0.14,9.5,0.049,0.9958,1.5,0.62,white
6,0.15,10.4,0.046,0.9948,1.6,0.45,white
6,0.17,10.3,0.049,0.9949,1.6,0.61,white
6,0.365,9.9,0.041,0.997,13.5,0.39,white
6,0.23,10.7,0.039,0.9927,3.75,0.5,white
5,0.25,10.5,0.04,0.9938,1.3,0.43,white
5,0.32,9.6,0.046,0.9949,1.3,0.48,white
6,0.31,9.3,0.04,0.9953,6.2,0.46,white
6,0.2,10,0.044,0.997,9.7,0.46,white
6,0.255,11.2,0.026,0.9932,2,0.39,white
5,0.15,10.8,0.039,0.9927,1.4,0.62,white
6,0.15,10.3,0.044,0.9932,1.1,0.51,white
5,0.25,8.8,0.038,0.9955,6.6,0.42,white
6,0.19,12.8,0.044,0.9914,1.5,0.74,white
6,0.43,13.2,0.028,0.991,4.6,0.43,white
6,0.31,10.1,0.037,0.992,0.9,0.56,white
5,0.2,11,0.093,0.9924,1.7,0.66,white
6,0.16,10.8,0.043,0.9927,1.3,0.62,white
7,0.32,12.8,0.04,0.9911,2.3,0.52,white
6,0.22,9.2,0.042,0.9958,6.8,0.36,white
6,0.26,10.5,0.047,0.9928,1.5,0.44,white
6,0.37,11.7,0.028,0.9902,1.2,0.38,white
5,0.19,9.5,0.052,0.994,2.1,0.46,white
5,0.21,9.5,0.05,0.994,2.2,0.45,white
6,0.15,8.8,0.058,0.9972,8.8,0.4,white
7,0.16,9.3,0.05,1.0004,17,0.51,white
8,0.21,12.6,0.034,0.991,1.8,0.75,white
6,0.24,12.4,0.048,0.9918,1.2,0.34,white
6,0.21,10.1,0.047,0.995,2.3,0.72,white
8,0.29,11.2,0.042,0.9941,7,0.37,white
5,0.18,10,0.048,0.9956,6.4,0.52,white
5,0.18,10,0.048,0.9956,6.4,0.52,white
6,0.58,10.8,0.033,0.9959,12.15,0.39,white
6,0.16,10,0.04,0.9922,0.8,0.33,white
5,0.54,10.4,0.029,0.9931,2,0.33,white
6,0.58,10.8,0.033,0.9959,12.15,0.39,white
6,0.25,9.8,0.059,0.9984,12.4,0.47,white
8,0.23,12.2,0.041,0.9908,1.9,0.4,white
8,0.39,12.7,0.043,0.991,1.1,0.48,white
7,0.46,12.2,0.039,0.9928,6.2,0.35,white
7,0.35,11.9,0.039,0.9936,6.3,0.34,white
8,0.29,11.2,0.042,0.9941,7,0.37,white
4,0.35,10.4,0.042,0.9924,0.9,0.28,white
7,0.57,12.8,0.034,0.9917,3.9,0.67,white
7,0.37,12.7,0.027,0.9906,3.9,0.39,white
6,0.21,10.1,0.047,0.995,2.3,0.72,white
5,0.18,10,0.048,0.9956,6.4,0.52,white
5,0.13,9,0.04,0.9955,1.8,0.41,white
5,0.19,11.4,0.04,0.9907,1.1,0.42,white
6,0.22,8.9,0.05,1,15.4,0.59,white
6,0.29,9.3,0.039,0.9953,6.5,0.44,white
8,0.35,12,0.048,0.9911,2.4,0.46,white
7,0.19,10.8,0.04,0.9922,1.4,0.54,white
6,0.12,10.5,0.044,0.9951,5.7,0.37,white
7,0.13,10.6,0.038,0.9948,5.7,0.43,white
7,0.25,11.3,0.04,0.9906,1.4,0.48,white
4,0.32,9.5,0.051,0.994,1.4,0.38,white
5,0.19,11.4,0.04,0.9907,1.1,0.42,white
7,0.13,10.1,0.046,0.9927,1.2,0.33,white
6,0.14,10.9,0.037,0.9914,0.9,0.43,white
5,0.27,8.9,0.058,0.9958,3.8,0.45,white
6,0.22,8.9,0.05,1,15.4,0.59,white
5,0.64,9.3,0.168,0.9984,14.15,0.49,white
6,0.28,10.4,0.052,0.9941,1.9,0.4,white
7,0.26,12,0.042,0.9944,9.2,0.38,white
6,0.22,9.5,0.044,0.998,8.2,0.68,white
6,0.22,9.5,0.044,0.998,8.2,0.68,white
7,0.23,12.4,0.032,0.9902,2.7,0.38,white
7,0.3,11.2,0.032,0.9911,1.7,0.41,white
6,0.27,11.4,0.047,0.9929,1.7,0.69,white
6,0.28,11.4,0.05,0.993,1.7,0.71,white
7,0.28,11.1,0.047,0.9918,1.6,0.38,white
6,0.46,10.4,0.054,0.992,0.9,0.42,white
7,0.38,12,0.044,0.9932,8.5,0.35,white
7,0.43,12.3,0.039,0.992,5.7,0.61,white
6,0.56,9.1,0.045,0.994,3.1,0.35,white
6,0.36,10.5,0.046,0.9923,1.3,0.33,white
6,0.23,11.4,0.047,0.993,1.6,0.7,white
5,0.33,9.5,0.042,0.9956,1.3,0.64,white
7,0.49,13.7,0.039,0.9907,4.5,0.9,white
6,0.42,13.4,0.034,0.99,2.8,0.51,white
7,0.18,11.3,0.044,0.9918,1.2,0.48,white
6,0.19,10,0.037,0.9926,0.9,0.34,white
6,0.19,10.1,0.034,0.995,7.4,0.42,white
6,0.16,12.2,0.029,0.99,1.4,0.42,white
6,0.42,13.4,0.034,0.99,2.8,0.51,white
6,0.135,9.3,0.042,0.9946,4.6,0.42,white
7,0.49,13.7,0.039,0.9907,4.5,0.9,white
7,0.19,12.3,0.039,0.9898,1.6,0.46,white
7,0.18,11.3,0.044,0.9918,1.2,0.48,white
7,0.25,8.9,0.05,0.9986,13.1,0.46,white
7,0.25,8.9,0.05,0.9986,13.1,0.46,white
6,0.2,11.5,0.035,0.9928,5.7,0.46,white
7,0.25,8.9,0.05,0.9986,13.1,0.46,white
6,0.67,9.3,0.052,0.9979,12.6,0.52,white
8,0.4,11.1,0.044,0.994,5.4,0.5,white
8,0.26,10.9,0.044,0.9937,2.2,0.64,white
5,0.31,11.6,0.043,0.9938,6.6,0.38,white
4,0.39,10.2,0.069,0.9942,6.9,0.35,white
8,0.22,10.5,0.034,0.9944,6.8,0.38,white
6,0.19,11.4,0.033,0.993,3.6,0.78,white
7,0.25,8.9,0.05,0.9986,13.1,0.46,white
6,0.2,10.6,0.04,0.9932,1.2,0.41,white
6,0.26,11.6,0.037,0.9934,5.9,0.4,white
6,0.2,11.5,0.035,0.9928,5.7,0.46,white
8,0.3,12.3,0.035,0.9925,4.1,0.79,white
6,0.29,10.8,0.042,0.9944,7.1,0.41,white
6,0.17,11.3,0.037,0.9909,1.4,0.38,white
5,0.415,9.3,0.038,0.9932,0.8,0.36,white
6,0.23,10,0.045,0.9934,1.3,0.6,white
3,0.55,11,0.057,1.0001,15.55,0.63,white
5,0.35,10.2,0.044,0.992,1,0.55,white
7,0.14,10.8,0.04,0.9916,1.6,0.4,white
4,0.28,10.1,0.042,0.998,11.8,0.34,white
6,0.18,11.6,0.047,0.9919,4.5,0.37,white
5,0.165,9.1,0.051,0.9925,1.1,0.47,white
4,0.25,10,0.056,0.9977,10,0.43,white
6,0.29,10.8,0.042,0.9944,7.1,0.41,white
6,0.22,11.4,0.052,0.991,0.9,0.35,white
6,0.22,12.7,0.045,0.99,1,0.34,white
5,0.25,11.3,0.042,0.9917,1.1,0.55,white
7,0.18,10.4,0.033,0.9923,1.1,0.68,white
5,0.22,9.6,0.051,0.9928,1.5,0.46,white
4,0.39,10.1,0.048,0.9923,1,0.31,white
5,0.22,9.6,0.051,0.9928,1.5,0.46,white
7,0.36,12.1,0.03,0.9902,2.9,0.49,white
6,0.29,12.2,0.031,0.9893,1.2,0.33,white
5,0.25,11.3,0.042,0.9917,1.1,0.55,white
5,0.23,9.6,0.053,0.9982,14.2,0.5,white
5,0.56,9.2,0.051,1.0005,17.85,0.7,white
7,0.18,10.4,0.033,0.9923,1.1,0.68,white
5,0.23,9.5,0.05,0.9951,7.1,0.34,white
5,0.25,8.9,0.052,0.9956,7.6,0.47,white
5,0.26,8.8,0.05,0.998,13.6,0.44,white
5,0.31,10.5,0.057,0.9928,1.4,0.35,white
5,0.25,9.4,0.061,0.9938,1.2,0.34,white
6,0.18,12.2,0.04,0.9914,5.3,0.4,white
6,0.43,11.3,0.033,0.9955,13,0.35,white
6,0.2,12.2,0.044,0.9924,4.45,0.42,white
6,0.27,12.2,0.063,0.9911,1.2,0.42,white
6,0.16,11.2,0.055,0.9917,1.2,0.47,white
6,0.16,11.2,0.055,0.9917,1.2,0.47,white
6,0.19,11.5,0.036,0.9932,6.6,0.27,white
6,0.43,11.3,0.033,0.9955,13,0.35,white
5,0.4,9.3,0.048,0.9929,1.1,0.42,white
6,0.43,11.3,0.033,0.9955,13,0.35,white
7,0.52,11.8,0.034,0.9958,14,0.38,white
5,0.21,9.2,0.054,1.0012,19.8,0.54,white
5,0.34,9.2,0.069,0.9968,11.2,0.81,white
6,0.27,12.2,0.063,0.9911,1.2,0.42,white
6,0.2,12.2,0.044,0.9924,4.45,0.42,white
6,0.22,12.2,0.044,0.991,2.7,0.41,white
6,0.11,10.6,0.048,0.9946,4.5,0.42,white
6,0.17,12.4,0.05,0.9928,3.6,0.4,white
6,0.145,10.8,0.048,0.9946,5.4,0.44,white
6,0.16,11.2,0.055,0.9917,1.2,0.47,white
6,0.19,11,0.051,0.9918,1.2,0.46,white
8,0.44,12.7,0.031,0.9926,9.1,0.27,white
5,0.2,10.2,0.044,0.9931,0.8,0.53,white
6,0.19,11.5,0.036,0.9932,6.6,0.27,white
7,0.25,12.3,0.03,0.9903,3,0.39,white
5,0.24,9.8,0.046,0.9928,1.6,0.39,white
5,0.4,9.3,0.048,0.9929,1.1,0.42,white
7,0.52,11.8,0.034,0.9958,14,0.38,white
6,0.43,11.3,0.033,0.9955,13,0.35,white
5,0.21,11.4,0.052,0.9911,1.35,0.28,white
6,0.2,10.8,0.038,0.9938,5.9,0.48,white
4,0.25,9.5,0.057,0.9942,3.6,0.48,white
6,0.08,10.2,0.05,0.9945,1.3,0.44,white
5,0.85,10.7,0.028,0.9962,8.7,0.36,white
6,0.51,10.8,0.04,0.992,1.2,0.29,white
6,0.22,11.5,0.044,0.9927,4.6,0.28,white
6,0.16,10.7,0.056,0.9948,2,0.49,white
6,0.08,10.2,0.05,0.9945,1.3,0.44,white
6,0.25,10.1,0.048,0.9942,1.7,0.6,white
6,0.16,10.4,0.046,0.9952,2.4,0.81,white
4,0.25,9.5,0.057,0.9942,3.6,0.48,white
3,0.32,9.1,0.053,0.9958,4.6,0.5,white
6,0.28,10.6,0.034,0.9918,1.5,0.39,white
6,0.15,9.4,0.033,0.9932,0.9,0.7,white
6,0.25,9.8,0.054,1.0004,19.4,0.45,white
6,0.26,9.5,0.044,0.9972,13.3,0.54,white
5,0.16,9.3,0.037,0.9998,17.85,0.41,white
6,0.185,10.3,0.03,0.9918,1.1,0.45,white
5,0.2,11.1,0.031,0.9918,1.3,0.62,white
5,0.3,10,0.046,0.9964,9.4,0.48,white
8,0.34,12.3,0.033,0.9936,9,0.38,white
8,0.35,12.4,0.033,0.9931,8.65,0.38,white
7,0.29,12.3,0.03,0.9938,9.6,0.38,white
5,0.62,10.4,0.039,0.9934,1.1,0.32,white
7,0.27,12.1,0.044,0.99,1.2,0.48,white
6,0.27,12.5,0.041,0.9914,1.8,0.42,white
6,0.51,13,0.043,0.9904,2.1,0.6,white
7,0.19,11,0.03,0.994,9.3,0.32,white
5,0.2,10.1,0.04,0.9938,1.7,0.37,white
5,0.3,9.2,0.034,0.9933,1.2,0.36,white
7,0.36,12.6,0.039,0.9909,4.6,0.34,white
8,0.17,12.2,0.045,0.9942,12.8,0.38,white
7,0.18,9.8,0.041,0.9945,1.5,0.49,white
6,0.2,11,0.051,0.9954,8.1,0.52,white
6,0.26,10,0.044,0.996,7.5,0.64,white
6,0.21,9.8,0.06,0.9991,14.5,0.44,white
5,0.2,10.5,0.053,0.993,1.6,0.47,white
5,0.18,10,0.061,0.9942,1.8,0.48,white
6,0.23,11.2,0.042,0.9934,3.2,0.51,white
7,0.22,11,0.034,0.9939,9.4,0.32,white
6,0.22,11.2,0.031,0.9937,9.9,0.28,white
7,0.19,11,0.03,0.994,9.3,0.32,white
6,0.155,10.5,0.039,0.9926,1.3,0.77,white
6,0.22,10.6,0.037,0.9951,9.6,0.33,white
6,0.24,10.6,0.038,0.9952,9.3,0.33,white
6,0.23,12,0.035,0.9935,7.8,0.34,white
5,0.2,10.1,0.04,0.9938,1.7,0.37,white
6,0.2,10.1,0.038,0.9939,1.7,0.37,white
5,0.3,9.2,0.034,0.9933,1.2,0.36,white
5,0.21,11,0.041,0.9927,1.4,0.63,white
6,0.25,10,0.044,0.998,9,0.49,white
6,0.21,8.7,0.042,0.9997,18.15,0.39,white
5,0.27,8.7,0.037,0.9981,12.5,0.44,white
6,0.27,11.1,0.037,0.992,1.1,0.54,white
6,0.28,11,0.045,0.9954,7.7,0.55,white
6,0.27,11.1,0.037,0.992,1.1,0.54,white
6,0.21,8.7,0.042,0.9997,18.15,0.39,white
5,0.27,8.7,0.037,0.9981,12.5,0.44,white
7,0.3,11.2,0.037,0.9943,8.1,0.3,white
7,0.23,11.1,0.049,0.9941,7.7,0.3,white
6,0.26,10.8,0.028,0.9936,5,0.54,white
6,0.18,9,0.044,0.9996,15.6,0.67,white
6,0.15,10.3,0.031,0.9932,1.5,0.4,white
5,0.13,9.9,0.028,0.9926,1,0.32,white
6,0.28,10,0.04,0.9936,1,0.41,white
6,0.17,9.8,0.034,0.992,1,0.42,white
6,0.26,10.8,0.028,0.9936,5,0.54,white
6,0.18,9,0.044,0.9996,15.6,0.67,white
4,0.53,9.1,0.029,0.993,0.8,0.32,white
6,0.16,10.6,0.037,0.9924,1.3,0.57,white
6,0.14,10.6,0.038,0.9928,1.1,0.72,white
5,0.13,9.9,0.028,0.9926,1,0.32,white
6,0.12,10.6,0.049,0.9952,5.2,0.47,white
6,0.29,9.9,0.034,0.9945,4.7,0.45,white
6,0.3,9.9,0.034,0.9945,4.8,0.45,white
6,0.36,12.8,0.025,0.9903,1.8,0.59,white
6,0.15,10.3,0.031,0.9932,1.5,0.4,white
6,0.18,10.6,0.051,0.9953,5.2,0.48,white
6,0.19,8.7,0.122,0.9936,1.2,0.31,white
7,0.21,12.6,0.038,0.9912,1.8,0.44,white
7,0.3,11,0.057,0.9962,7.6,0.63,white
7,0.42,11.2,0.056,0.9965,8.2,0.6,white
7,0.24,10.7,0.032,0.9932,1.3,0.57,white
6,0.23,9.6,0.036,0.9967,10,0.58,white
6,0.18,10.6,0.051,0.9953,5.2,0.48,white
4,0.43,9,0.045,0.9963,6.4,0.57,white
4,0.35,10.5,0.036,0.992,1,0.33,white
6,0.3,12.8,0.033,0.991,1.8,0.52,white
5,0.28,10.1,0.059,0.9958,2,0.46,white
7,0.34,12.2,0.027,0.99,1.5,0.33,white
6,0.3,12.8,0.033,0.991,1.8,0.52,white
5,0.28,10.1,0.059,0.9958,2,0.46,white
6,0.19,10.1,0.044,0.9938,3.5,0.51,white
5,0.18,9.2,0.046,0.9996,18.05,0.41,white
5,0.19,9.9,0.055,0.9946,1.8,0.44,white
6,0.3,9.7,0.055,0.9974,8.2,0.58,white
5,0.3,9.9,0.038,0.9945,5,0.46,white
5,0.3,9.9,0.041,0.9946,4.6,0.45,white
6,0.3,9.7,0.055,0.9974,8.2,0.58,white
6,0.22,10.3,0.063,0.9957,7,0.5,white
5,0.26,10.3,0.045,0.9931,3.1,0.35,white
4,0.17,10.5,0.048,0.9947,8.8,0.34,white
6,0.17,10.5,0.053,0.9953,2.4,0.76,white
6,0.27,9.8,0.05,0.9931,1.4,0.44,white
4,0.64,10.6,0.05,0.9946,1.8,0.58,white
5,0.18,10.1,0.046,0.9978,11.9,0.68,white
4,0.31,9,0.062,0.9989,13.4,0.53,white
5,0.31,9.5,0.046,1.0004,15.4,0.45,white
6,0.3,11.5,0.039,0.9938,7.2,0.32,white
7,0.24,11.9,0.039,0.9934,7.4,0.33,white
5,0.18,10.1,0.046,0.9978,11.9,0.68,white
6,0.25,9.2,0.045,0.9956,7.8,0.42,white
5,0.3,8.7,0.039,0.9982,13.5,0.4,white
5,0.31,9.8,0.042,0.9948,1.3,0.46,white
6,0.25,9.2,0.045,0.9956,7.8,0.42,white
5,0.3,8.7,0.039,0.9982,13.5,0.4,white
6,0.27,11.2,0.036,0.9926,1.5,0.48,white
6,0.14,12.3,0.028,0.991,1.2,0.82,white
6,0.12,10.4,0.042,0.9945,6.4,0.44,white
6,0.21,10.7,0.047,0.9916,1.2,0.41,white
6,0.16,10.5,0.043,0.9953,7.3,0.59,white
6,0.29,9.4,0.047,0.9938,3.8,0.4,white
6,0.27,9.2,0.046,0.9956,7.3,0.43,white
5,0.55,11.9,0.034,0.9906,2.7,0.3,white
6,0.27,9.2,0.046,0.9956,7.3,0.43,white
6,0.24,9.9,0.172,0.9932,1.4,0.39,white
6,0.33,11.4,0.167,0.9914,1.6,0.5,white
6,0.29,9.4,0.047,0.9938,3.8,0.4,white
6,0.34,10.7,0.046,0.996,8,0.52,white
5,0.39,12.7,0.034,0.9906,4.7,0.36,white
7,0.41,13.5,0.034,0.98815,1.9,0.5,white
5,0.41,9.5,0.048,0.9942,2.8,0.35,white
9,0.26,12.9,0.032,0.9903,2.2,0.42,white
6,0.32,12.5,0.031,0.9906,1.7,0.46,white
7,0.19,9.5,0.04,0.9935,4.9,0.38,white
5,0.27,8.6,0.057,1.0024,23.5,0.47,white
7,0.2,10,0.048,0.9968,11.8,0.46,white
6,0.32,12.5,0.031,0.9906,1.7,0.46,white
6,0.26,10.1,0.04,0.9941,5.2,0.34,white
7,0.26,11.3,0.027,0.9919,3.2,0.32,white
7,0.14,10.6,0.035,0.9928,1.5,0.4,white
5,0.29,10.8,0.035,0.9958,11.7,0.34,white
6,0.19,10.7,0.047,0.9932,1.6,0.47,white
6,0.34,9,0.045,0.9957,7.3,0.4,white
6,0.2,9.2,0.065,0.9937,1.6,0.52,white
6,0.37,8.5,0.045,0.9982,13.3,0.48,white
8,0.22,11.3,0.029,0.9928,6,0.36,white
7,0.26,11.3,0.027,0.9919,3.2,0.32,white
5,0.32,9.4,0.05,0.9956,1.6,0.34,white
6,0.44,8.7,0.045,0.9957,7.7,0.37,white
6,0.14,9.4,0.053,0.9954,5.9,0.36,white
7,0.17,10.5,0.039,0.993,1,0.51,white
6,0.26,9.7,0.037,0.9954,6.4,0.53,white
6,0.22,10.2,0.048,0.9987,10.4,0.44,white
5,0.32,9.4,0.05,0.9956,1.6,0.34,white
6,0.2,11.5,0.057,0.9928,3.5,0.35,white
6,0.15,9.6,0.047,0.9951,7.7,0.31,white
5,0.25,11.4,0.053,0.993,1.8,0.7,white
6,0.2,11.5,0.057,0.9928,3.5,0.35,white
8,0.28,12.2,0.041,0.9926,6.5,0.58,white
7,0.19,11,0.037,0.9938,6.7,0.38,white
6,0.25,9.2,0.048,1.0001,16.8,0.52,white
6,0.14,10.2,0.035,0.9933,1.6,0.45,white
5,0.49,10,0.043,0.9952,7,0.33,white
6,0.12,9.7,0.042,0.9934,1.2,0.48,white
5,0.47,9.2,0.239,0.9988,13,0.51,white
5,0.22,10.5,0.042,0.993,3.8,0.39,white
5,0.49,10,0.043,0.9952,7,0.33,white
6,0.22,10.1,0.054,0.9948,7.5,0.52,white
7,0.19,9.1,0.058,0.9998,15.55,0.36,white
7,0.3,10.2,0.049,0.9971,12.3,0.57,white
7,0.19,9.1,0.058,0.9998,15.55,0.36,white
7,0.24,10.5,0.048,0.9962,9.4,0.59,white
6,0.22,10.1,0.054,0.9948,7.5,0.52,white
7,0.21,12.1,0.036,0.99,1.2,0.28,white
5,0.3,10.2,0.045,0.9942,1.6,0.59,white
4,0.26,9.4,0.058,0.9965,1.6,0.52,white
7,0.31,12.8,0.044,0.9912,3.95,0.67,white
6,0.42,9,0.076,0.9978,12.8,0.58,white
4,0.29,10.9,0.044,0.9928,1,0.36,white
6,0.33,8.8,0.053,1.0103,31.6,0.38,white
5,0.46,9,0.052,0.9956,7.4,0.38,white
5,0.28,10.2,0.046,0.9936,1.3,0.59,white
5,0.15,9.2,0.048,0.9929,1.1,0.48,white
6,0.4,11.3,0.06,0.9966,7.8,0.58,white
5,0.31,8.8,0.05,0.9964,7.7,0.45,white
5,0.325,9.3,0.049,0.996,7.7,0.4,white
6,0.27,9.4,0.049,0.9959,7.8,0.45,white
6,0.26,10.3,0.047,0.9954,8.3,0.4,white
7,0.21,10.8,0.047,0.9914,1.4,0.42,white
6,0.33,8.8,0.053,1.0103,31.6,0.38,white
4,0.28,9,0.059,1.0004,15.4,0.58,white
8,0.13,11.5,0.036,0.9911,1,0.51,white
5,0.445,10.8,0.04,0.9938,1,0.43,white
6,0.39,11.8,0.055,0.9927,5.9,0.51,white
7,0.18,10.5,0.033,0.9922,1.2,0.38,white
6,0.31,9.9,0.036,0.9924,1.2,0.44,white
6,0.24,9.8,0.046,0.9963,6.7,0.56,white
7,0.35,11.4,0.028,0.9936,6.5,0.42,white
5,0.26,9.3,0.138,0.9951,4.8,0.38,white
5,0.27,9.3,0.137,0.9951,5.3,0.38,white
6,0.22,10.3,0.046,0.9955,8.9,0.44,white
5,0.27,8.9,0.047,0.9961,8.8,0.47,white
7,0.35,11.4,0.028,0.9936,6.5,0.42,white
6,0.23,11.1,0.032,0.992,1.8,0.35,white
6,0.3,10.4,0.045,0.9944,6.6,0.45,white
5,0.35,10.1,0.034,0.9944,5.7,0.43,white
5,0.32,9,0.054,1.0008,18.35,0.55,white
6,0.31,11.9,0.046,0.9962,10,0.55,white
7,0.25,9,0.055,0.9986,14.4,0.38,white
7,0.25,9,0.055,0.9986,14.4,0.38,white
7,0.26,9.1,0.049,1,17.85,0.44,white
7,0.25,9,0.055,0.9986,14.4,0.38,white
5,0.26,10,0.047,0.9982,9.4,0.72,white
7,0.26,9.1,0.049,1,17.85,0.44,white
3,0.25,9.4,0.041,0.9949,1.55,0.63,white
6,0.16,11.4,0.034,0.9915,1.3,0.55,white
4,0.43,9.7,0.05,0.9951,1.5,0.45,white
7,0.25,9,0.055,0.9986,14.4,0.38,white
6,0.24,11.8,0.04,0.9927,4.2,0.49,white
5,0.265,10.2,0.048,0.9955,8.6,0.41,white
6,0.12,9.2,0.06,0.9952,1.4,0.42,white
6,0.21,11,0.036,0.9928,3,0.4,white
6,0.32,10,0.041,0.9982,14.9,0.31,white
6,0.18,12.2,0.038,0.9914,2,0.37,white
6,0.24,11.8,0.04,0.9927,4.2,0.49,white
6,0.26,11.6,0.043,0.9918,2.2,0.43,white
6,0.26,10.2,0.043,0.9944,1.8,0.61,white
5,0.29,10.3,0.033,0.9969,11.1,0.46,white
4,0.27,8.6,0.046,0.9955,4.2,0.35,white
5,0.33,9.6,0.058,0.9954,6.4,0.44,white
5,0.31,9.6,0.057,0.9955,6.4,0.45,white
6,0.25,11.3,0.035,0.9921,1.5,0.47,white
6,0.24,9.9,0.038,0.9934,1.5,0.55,white
5,0.26,9.6,0.056,0.9998,16.95,0.4,white
4,0.61,10.6,0.051,0.9946,1.7,0.6,white
5,0.22,9.8,0.055,0.9984,13.6,0.39,white
5,0.31,10.5,0.032,0.9924,1.6,0.47,white
5,0.2,10.8,0.037,0.9939,6.1,0.51,white
6,0.18,10,0.061,0.995,3,0.51,white
6,0.34,10.1,0.059,0.9957,6.2,0.49,white
5,0.3,9.4,0.123,0.9953,6.6,0.48,white
8,0.18,11.5,0.04,0.9912,1.6,0.59,white
6,0.21,10.8,0.046,0.9939,6,0.5,white
6,0.27,9.9,0.044,0.9921,1.5,0.43,white
4,0.2,9,0.05,0.9954,1.7,0.43,white
6,0.23,9.4,0.043,0.9933,1.8,0.31,white
7,0.2,10.8,0.044,0.9941,2.6,0.44,white
7,0.15,10.9,0.052,0.995,2.7,0.45,white
6,0.4,12,0.041,0.9977,19.5,0.38,white
8,0.18,11.5,0.04,0.9912,1.6,0.59,white
6,0.13,10.5,0.056,0.9945,5,0.42,white
6,0.17,9.3,0.064,0.9952,4.6,0.37,white
6,0.3,11.8,0.034,0.9924,6.4,0.44,white
6,0.445,10,0.045,0.9986,14.5,0.36,white
5,0.3,9.4,0.123,0.9953,6.6,0.48,white
6,0.22,11.4,0.036,0.9939,6.7,0.68,white
6,0.23,10.4,0.031,0.9929,1.1,0.3,white
6,0.34,9.5,0.055,0.9988,13.8,0.37,white
5,0.545,11.9,0.031,0.9906,2.5,0.32,white
6,0.3,11.1,0.041,0.9914,1.1,0.45,white
6,0.16,9.6,0.057,0.9978,9.6,0.38,white
6,0.32,12,0.042,0.9928,4.6,0.47,white
5,0.22,8.7,0.052,0.9948,3.1,0.42,white
6,0.16,9.6,0.057,0.9978,9.6,0.38,white
5,0.15,10,0.054,0.9946,1.8,0.44,white
4,0.29,11.4,0.032,0.9908,1.05,0.32,white
6,0.37,9.6,0.061,0.9954,6.5,0.45,white
6,0.38,12.9,0.038,0.9906,2,0.32,white
6,0.25,9.7,0.039,0.99705,14.9,0.35,white
6,0.3,9.3,0.042,0.9982,10,0.51,white
5,0.22,9.1,0.133,0.9932,1.1,0.3,white
5,0.34,8.6,0.053,0.9977,12,0.48,white
5,0.22,9.9,0.05,0.994,4.8,0.42,white
6,0.3,9.3,0.042,0.9982,10,0.51,white
5,0.27,10.9,0.044,0.9929,1.2,0.42,white
6,0.17,10.2,0.056,0.9924,1.5,0.43,white
6,0.18,9.7,0.045,0.9966,10.4,0.57,white
7,0.16,11.4,0.046,0.9921,2.5,0.51,white
6,0.255,9.5,0.045,0.9967,12.3,0.54,white
7,0.23,10.2,0.049,0.9934,1.4,0.54,white
6,0.16,11.1,0.042,0.9914,2.2,0.43,white
6,0.25,9.7,0.039,0.99705,14.9,0.35,white
5,0.27,9.3,0.053,0.9961,8,0.43,white
5,0.29,8.8,0.056,0.9967,8.6,0.44,white
5,0.21,10.6,0.038,0.9926,1.2,0.46,white
5,0.62,9.3,0.046,0.99605,8.7,0.44,white
6,0.28,10.2,0.042,0.99435,5.4,0.35,white
6,0.3,10.2,0.044,0.9948,5.7,0.51,white
7,0.17,11,0.037,0.9916,1.5,0.42,white
6,0.21,9.6,0.037,0.997,10.9,0.5,white
5,0.27,9.3,0.053,0.9961,8,0.43,white
5,0.29,8.8,0.056,0.9967,8.6,0.44,white
5,0.32,8.8,0.054,0.9961,7.7,0.45,white
5,0.32,8.9,0.051,0.9955,1.7,0.69,white
5,0.37,10,0.048,0.9922,1.4,0.38,white
7,0.43,12.2,0.046,0.9918,4.5,0.56,white
6,0.39,10.9,0.059,0.9955,9.9,0.42,white
6,0.18,9.5,0.041,0.9941,1.4,0.72,white
6,0.4,10.9,0.059,0.9955,9.5,0.43,white
6,0.39,10.9,0.059,0.9955,9.9,0.42,white
6,0.19,10.8,0.054,0.9924,3,0.4,white
6,0.49,12,0.03,0.9973,19.6,0.4,white
5,0.25,9.8,0.069,0.999,14,0.47,white
